시점,행정구역(시),행정구역(시군구)별,총인구수,남자인구수,여자인구수,영아기,아동기,청소년기,청년기,중년기,노년기
2023,전라북도,완산구,328899.0,159836.0,169063.0,7595.5,13001.5,33207.5,83210.5,106044.5,106525.5
2023,전라북도,완주군,94929.5,48750.0,46179.5,2381.5,3733.5,8486.0,18686.0,29281.0,42512.0
2023,전라북도,익산시,270812.0,134773.0,136039.0,5689.5,9618.5,25976.5,58661.5,85488.5,109023.0
2023,전라북도,임실군,26171.5,13438.0,12733.5,579.0,586.5,1488.5,3449.0,6723.5,18949.0
2023,전라북도,장수군,21135.5,10609.5,10526.0,364.0,509.5,1570.5,2660.0,5760.0,14227.5
2023,전라북도,전주시,645398.0,316966.5,328431.5,17207.5,28629.0,68613.0,164621.5,208802.0,195692.5
2023,전라북도,정읍시,103989.5,51764.0,52225.5,1973.5,3167.0,8764.5,17443.0,31125.0,56951.5
2023,전라북도,진안군,24455.5,12472.5,11983.0,477.0,478.5,1562.0,3046.5,6544.0,17018.0
2023,전라남도,전라남도,1806802.0,909893.0,896909.0,45142.5,66124.0,160151.5,352135.5,552811.0,835404.0
2023,전라남도,강진군,32859.5,15990.5,16869.0,598.5,805.5,2292.0,4579.5,8580.0,22484.0
2023,전라남도,고흥군,61327.5,29931.5,31396.0,937.5,1186.0,3456.0,6739.0,15106.5,48146.0
2023,전라남도,곡성군,26916.0,13339.5,13576.5,270.0,544.5,1678.5,3600.5,7240.5,19600.5
2023,전라남도,광양시,152155.0,79548.5,72606.5,5005.0,6716.0,15688.0,36612.5,52839.0,44157.5
2023,전라남도,구례군,24431.5,11947.5,12484.0,333.0,550.5,1650.5,2996.0,6863.5,16815.0
2023,전라남도,나주시,116683.0,58854.0,57829.0,3852.5,5253.0,9990.0,25537.5,34396.0,50140.0
2023,전라남도,담양군,45489.0,23015.5,22473.5,862.5,1143.0,2926.5,7380.5,12833.5,27647.5
2023,전라남도,목포시,214931.5,106730.5,108201.0,4885.5,9291.0,23537.5,46845.0,71428.5,72374.0
2023,전라남도,무안군,90294.5,45425.0,44869.5,2792.5,4539.0,10017.5,19543.0,27979.0,33196.0
2023,전라남도,보성군,38007.0,18601.0,19406.0,514.0,780.5,2345.0,4494.5,9765.0,28916.5
2023,전라남도,순천시,277841.0,138550.5,139290.5,8410.5,12303.5,28830.0,66137.5,89822.5,91716.0
2023,전라남도,신안군,37841.5,20357.5,17484.0,602.0,711.0,1925.0,4672.5,10668.5,26309.5
2023,전라남도,여수시,272589.0,138709.0,133880.0,7058.0,10680.0,24900.0,59140.5,86480.0,104721.0
2023,전라남도,영광군,51861.5,25911.0,25950.5,1940.0,1526.0,3932.5,9050.5,14478.0,28344.0
2023,전라남도,영암군,52256.0,27289.5,24966.5,1126.5,1601.5,4131.0,8743.5,16475.5,27393.0
2023,전라남도,완도군,46993.5,23703.5,23290.0,1023.0,1512.0,3393.0,6390.5,13145.0,29429.5
2023,전라남도,장성군,42759.0,21970.5,20788.5,808.0,1266.0,3045.0,6880.0,12335.5,25273.5
2023,전라남도,장흥군,35250.0,17202.0,18048.0,656.0,895.0,2471.0,4862.0,9514.5,23964.5
2023,전라남도,진도군,29182.0,14538.0,14644.0,573.5,785.0,2017.0,4155.5,8015.5,18862.0
2023,전라남도,함평군,30614.5,15476.5,15138.0,446.5,578.0,1901.0,3901.5,8238.5,21990.0
2023,전라남도,해남군,65061.5,32428.5,32633.0,1339.0,1728.0,4807.0,9046.5,18083.5,40991.5
